feature,importance
cat__기수번호_080608,6
cat__소재지_(주)궁평캠프,6
cat__소유자명_최상일,6
cat__소유자명_선형조,6
cat__기수번호_080434,6
cat__부마명_지금이순간,6
cat__부마명_GOLDENCENTS,5
cat__기수번호_080563,5
cat__마명_질주천하,5
cat__기수번호_80617,5
cat__기수번호_80588,5
cat__야간경마여부_일반,5
cat__소유자명_송태형,5
cat__마명_원평타운,5
cat__소유자명_최홍일,5
cat__부마명_온이글즈윙즈,5
cat__기수번호_80621,4
cat__소유자명_임동현,4
cat__소유자명_정성진,4
cat__부마명_어플릿익스프레스,4
cat__부마명_ARMY MULE,4
cat__기수번호_080612,4
cat__소유자명_유수현,4
cat__소유자명_황봉기,4
cat__부마명_KLIMT,4
cat__기수번호_80533,4
cat__부마명_오버애널라이즈,4
cat__날씨_눈,4
cat__소유자명_조현영,3
cat__마명_마이티짱,3
cat__소유자명_김명식,3
cat__부마명_경부대로,3
cat__소재지_청림목장,3
cat__소유자명_이경호a,3
cat__소유자명_제일사료(주),3
cat__소재지_송암축산,3
cat__소유자명_이종천,3
cat__소유자명_간용기,3
cat__소유자명_유성훈,2
cat__소유자명_말사모,2
cat__기수번호_080339,2
cat__부마명_프로스펙티브,2
cat__소유자명_에스지이건설,2
cat__소유자명_장재형,2
cat__소재지_태극호스파크,2
cat__마명_비케이벨,2
cat__출전마구분_Rookie2,2
cat__경주등급_교류,2
cat__소유자명_오종환,2
cat__부마명_사우스비치,2
cat__기수번호_080588,2
cat__부마명_FREE DROP BILLY,2
cat__소유자명_허훈,2
cat__소유자명_이신근,2
cat__부마명_WORLD OF TROUBLE,2
cat__소유자명_김정철,2
cat__기수번호_80405,2
cat__마명_탱글이,1
cat__기수번호_080438,1
cat__기수번호_080473,1
cat__소유자명_임한용,1
cat__마명_그래티튜드,1
cat__부마명_CAIRO PRINCE,1
cat__소유자명_서창식,1
cat__기수번호_80473,1
cat__소유자명_이종훈,1
cat__마명_대사리,1
cat__기수번호_080405,1
cat__소유자명_김진태a,1
cat__소유자명_박정배,1
cat__소유자명_박철근,1
cat__부마명_뉴화이트삭스,1
cat__부마명_TOM'S D'ETAT,1
cat__기수번호_80547,1
cat__부마명_BUCCHERO,1
cat__소유자명_라온랜드(주),1
cat__부마명_지몰로지스트,1
cat__소재지_궁평목장,1
cat__소유자명_범한산업,1
cat__소유자명_(주)일진코스메틱,1
cat__부마명_infrequent_sklearn,1
cat__부마명_테이크차지인디,1
cat__소유자명_김영구,1
cat__소유자명_손천수,1
cat__소유자명_최성룡,1
cat__마명_텐배거,1
cat__소재지_태평목장,1
cat__소유자명_임재형,1
cat__소유자명_이관형,1
cat__소재지_지산홀스랜드,1
cat__소유자명_(주)녹원목장,1
cat__마명_다나은킹덤,0
cat__마명_늘가을,0
cat__마명_뉴카우보이,0
cat__마명_뉴돌콩,0
cat__마명_눈꽃,0
cat__마명_누리천왕,0
cat__마명_누리으뜸,0
cat__마명_노프라블럼,0
cat__마명_노던타임,0
cat__마명_네이비캡틴,0
cat__마명_넘버원삭스,0
cat__마명_너트플레이,0
cat__마명_내맘의열정,0
cat__마명_델타최강,0
cat__마명_더플레이어,0
cat__마명_더엑설런트,0
cat__마명_더선파이터,0
cat__마명_더선커밍,0
cat__마명_더블블레이드,0
cat__마명_댄싱위즈,0
cat__마명_대흥클래스,0
cat__마명_대한코코즈,0
cat__마명_대한질주,0
cat__마명_대한시대,0
cat__마명_대원용마,0
cat__마명_대승마,0
cat__마명_대성스타,0
cat__마명_당대초월,0
cat__마명_드리머위즈,0
cat__마명_드래곤판타지,0
cat__마명_드래곤킹덤,0
cat__마명_드래곤킬러,0
cat__마명_드래곤스퀘어,0
cat__마명_드래곤불패,0
cat__마명_드래곤게이트,0
cat__마명_두손으뜸,0
cat__마명_두손오픈,0
cat__마명_두손라이프,0
cat__마명_두레이쇼,0
cat__마명_동키플레이,0
cat__마명_동진불패,0
cat__마명_동강의스타,0
cat__마명_도끼드래곤,0
cat__마명_라온더케이샤,0
