feature,importance
cat__마명_한강글로리,8
cat__마명_원평코드,8
cat__소유자명_박준배,8
cat__생산국_한국,8
cat__부마명_콩코드포인트,8
cat__마명_선갤런트,8
cat__소유자명_황현,7
cat__마명_울트라삭스,7
cat__마명_카리즈마,7
cat__소유자명_함평제일,7
cat__부마명_MASTERY,7
cat__기수번호_080623,7
cat__부마명_라이언메탈,7
cat__마명_탐라최강자,7
cat__야간경마여부_야간경마,7
cat__소유자명_페가수스,6
cat__소유자명_이월희,6
cat__소유자명_홍상기,6
cat__마명_질주천하,6
cat__소유자명_송한우,6
cat__마명_벌교베리타스,6
cat__소유자명_(주)메타플렉스,6
cat__소유자명_배은정,6
cat__기수번호_080361,6
cat__소유자명_이선호,6
cat__부마명_페더럴리스트,6
cat__소유자명_홍애란,6
cat__부마명_MAXIMUM SECURITY,6
cat__기수번호_080602,5
cat__부마명_모던카우보이,5
cat__부마명_애니기븐새터데이,5
cat__소유자명_박철근,5
cat__부마명_레이스데이,5
cat__생산국_미국,5
cat__부마명_빅스,5
cat__부마명_섀클포드,5
cat__마명_금빛천하,5
cat__소재지_제주브리더스파크,5
cat__소유자명_조제형,5
cat__경주로상태_포화,5
cat__마명_글로벌보배,5
cat__소유자명_이강운,5
cat__기수번호_080582,4
cat__소유자명_퍼플라인,4
cat__소유자명_유성훈,4
cat__소유자명_제일사료(주),4
cat__소유자명_우태율,4
cat__소유자명_김선식,4
cat__소유자명_하늬바람,4
cat__부마명_연승대로,4
cat__부마명_티즈원더풀,4
num__horse_rank_lag_1,4
cat__소유자명_양현모,4
cat__마명_점순이고,4
cat__기수번호_080512,4
cat__기수번호_080513,4
cat__부마명_미스터크로우,4
cat__경주로상태_불량,4
cat__소유자명_이기선,4
cat__소유자명_청수,4
cat__소재지_렛츠런팜장수,4
cat__부마명_뉴레전드,3
cat__소유자명_이신근,3
cat__소유자명_허도행,3
cat__소유자명_박재용,3
cat__소유자명_김용재,3
cat__부마명_컬러즈플라잉,3
cat__기수번호_080563,3
cat__부마명_THE FACTOR,3
cat__부마명_파워블레이드,3
cat__기수번호_080562,3
cat__기수번호_080103,3
cat__마명_비케이벨,3
cat__마명_제타마스터,3
cat__소재지_제이엔씨동물병원,3
cat__부마명_센트럴커맨드,3
cat__기수번호_080611,3
cat__날씨_비,3
cat__마명_infrequent_sklearn,3
cat__소유자명_임병효,3
cat__기수번호_80361,3
cat__기수번호_80612,3
cat__기수번호_080584,3
cat__소유자명_김창식,2
cat__부마명_크리솔라이트,2
cat__마명_스터닝머니,2
cat__기수번호_080476,2
cat__기수번호_080487,2
cat__기수번호_080529,2
cat__마명_만대로,2
cat__소재지_KRA동물병원,2
cat__소유자명_최병욱,2
cat__기수번호_080578,2
cat__마명_신의여제,2
cat__기수번호_080613,2
cat__소유자명_최몽주,2
cat__기수번호_080434,2
cat__소유자명_김길리,2
cat__소유자명_디디에스코리아(주),2
cat__소재지_송암축산,2
cat__생산국_뉴질랜드,2
cat__소유자명_이태인,2
cat__소유자명_황의영,2
cat__출전마구분_일반,2
cat__부마명_AMERICAN FREEDOM,2
cat__소유자명_조수영,2
cat__소유자명_씨유네트워크,2
cat__기수번호_080515,1
cat__소유자명_임재형,1
cat__소유자명_박민지,1
cat__마명_강풍마,1
cat__마명_원평타운,1
cat__마명_최강현마,1
cat__기수번호_80613,1
cat__부마명_어플릿익스프레스,1
cat__소유자명_임한용,1
cat__소유자명_김진태a,1
cat__부마명_올드패션드,1
cat__소유자명_조금제,1
cat__부마명_지금이순간,1
cat__기수번호_080617,1
cat__소유자명_강만구,1
cat__부마명_ARMY MULE,1
cat__소유자명_투애니포,1
cat__부마명_테스타마타,1
cat__부마명_테이크차지인디,1
cat__기수번호_080473,1
cat__마명_지구라트,1
cat__마명_지모션,1
cat__부마명_KLIMT,1
cat__부마명_퍼지,1
cat__소유자명_베스트샤인조합,1
cat__부마명_피스룰즈,1
cat__마명_베스트토르,1
cat__기수번호_080608,1
cat__소유자명_최임규,1
cat__마명_아르고스마일,1
cat__소유자명_김갑수,1
cat__기수번호_80582,1
cat__소유자명_최상일,1
cat__기수번호_80547,1
cat__소재지_흙마축산,1
cat__소유자명_이종훈,1
cat__소유자명_장재형,1
cat__부마명_SUMMER FRONT,1
cat__마명_행복여전사,1
cat__마명_스팔타,1
cat__부마명_TOM'S D'ETAT,1
cat__마명_명성축제,1
cat__소유자명_김형순,1
cat__마명_토호마켓,1
cat__소유자명_지대섭,1
cat__소유자명_고재완,1
cat__기수번호_080548,1
cat__기수번호_080438,1
cat__소유자명_조현영,1
cat__기수번호_080533,1
cat__출전마구분_Rookie2,1
cat__부마명_위드디스팅션,1
cat__마명_그레이찰리,0
cat__마명_그레이캔디,0
cat__마명_그레이트스톰,0
cat__마명_그레이팬텀,0
cat__마명_그로우,0
cat__마명_글라디우스,0
cat__마명_글로리데이,0
cat__마명_글로리삭스,0
cat__마명_글로리시티,0
cat__마명_글로리앤아너,0
cat__마명_글로리영광,0
cat__마명_글로리조이,0
cat__마명_글로리퀸,0
cat__마명_글로벌기상,0
cat__마명_글로벌삭스,0
cat__마명_글로벌서브,0
cat__마명_글로벌컴퓨팅,0
cat__마명_글로벌타임,0
cat__마명_글로벌파로아,0
cat__마명_글로벌파워,0
cat__마명_글로벌함성,0
cat__마명_금빛강호,0
cat__마명_금빛마,0
cat__마명_금빛파워,0
cat__마명_금성보스,0
cat__마명_금성파워,0
cat__마명_금세,0
cat__마명_금세다,0
cat__마명_금아포모스트,0
cat__마명_금악명장,0
cat__마명_급행열차,0
cat__마명_기대하라,0
cat__마명_기분좋은말,0
cat__마명_기쁨함성,0
cat__마명_나노마신,0
cat__마명_나라올라,0
cat__마명_나로마스타,0
cat__마명_나르샤노바,0
cat__마명_나비드,0
cat__마명_나소챗,0
cat__마명_나올대왕,0
cat__마명_나올스나이퍼,0
cat__마명_나올패스,0
cat__마명_나이스위너,0
cat__마명_나이스포스,0
cat__마명_나인스피어,0
cat__마명_남산무적,0
cat__마명_남산미남,0
cat__마명_남산미녀,0
cat__마명_남촌서브,0
cat__마명_내게로와줘,0
cat__마명_내길의에이스,0
cat__마명_내길의여정,0
cat__마명_내길의위너,0
cat__마명_내맘의열정,0
cat__마명_너트플레이,0
cat__마명_넘버원삭스,0
cat__마명_네이비캡틴,0
cat__마명_노던타임,0
cat__마명_노프라블럼,0
cat__마명_누리으뜸,0
cat__마명_누리천왕,0
cat__마명_눈꽃,0
cat__마명_뉴돌콩,0
cat__마명_뉴카우보이,0
cat__마명_늘가을,0
cat__마명_다나은킹덤,0
cat__마명_다이나믹송,0
cat__마명_다이아룩,0
cat__마명_달맞이,0
cat__마명_당대초월,0
cat__마명_대사리,0
cat__마명_대성스타,0
cat__마명_대승마,0
cat__마명_대원용마,0
cat__마명_대한시대,0
cat__마명_대한질주,0
cat__마명_대한코코즈,0
cat__마명_대흥클래스,0
cat__마명_댄싱위즈,0
cat__마명_더블블레이드,0
cat__마명_더선커밍,0
cat__마명_더선파이터,0
cat__마명_더엑설런트,0
cat__마명_더플레이어,0
cat__마명_델타최강,0
cat__마명_도끼드래곤,0
cat__마명_동강의스타,0
cat__마명_동진불패,0
cat__마명_동키플레이,0
cat__마명_두레이쇼,0
cat__마명_두손라이프,0
cat__마명_두손오픈,0
cat__마명_두손으뜸,0
cat__마명_드래곤게이트,0
cat__마명_드래곤불패,0
cat__마명_드래곤스퀘어,0
cat__마명_드래곤킬러,0
cat__마명_드래곤킹덤,0
cat__마명_드래곤판타지,0
cat__마명_드리머위즈,0
cat__마명_드림다이아,0
cat__마명_드림릿지,0
cat__마명_드림아너,0
cat__마명_드림아일,0
cat__마명_드림카드,0
cat__마명_디네,0
cat__마명_디아나,0
cat__마명_딕시맨,0
cat__마명_따뜻한위로,0
cat__마명_라라걸,0
cat__마명_라라케이,0
cat__마명_라온노던댄스,0
cat__마명_라온니진스키,0
cat__마명_라온더벨몬트,0
cat__마명_라온더어펌드,0
cat__마명_라온더케이샤,0
cat__마명_라온사일런스,0
cat__마명_라온스나이퍼,0
cat__마명_라온스필레타,0
cat__마명_라온이클립스,0
cat__마명_라온탑플레이,0
cat__마명_라온티모스,0
cat__마명_라온파라노마,0
cat__마명_라온파이널,0
cat__마명_라온포레스트,0
cat__마명_라온플로렌스,0
cat__마명_라이브스타,0
cat__마명_라이언하트,0
cat__마명_라이징모,0
cat__마명_라이트윙,0
cat__마명_라파예트,0
cat__마명_랩처,0
cat__마명_러버맨,0
cat__마명_러브스칼렛,0
cat__마명_러브오마인,0
cat__마명_럭키데이,0
cat__마명_럭키붐,0
cat__마명_럭키서니,0
cat__마명_럭키에이원,0
cat__마명_럭키조이,0
cat__마명_럭키파티,0
cat__마명_럭키프랭크,0
cat__마명_럭키하눌,0
cat__마명_런와일드,0
cat__마명_레드동백,0
cat__마명_레드드래곤,0
cat__마명_레드벨럭키,0
cat__마명_레베랑스,0
cat__마명_레이디폭스,0
cat__마명_레인스타,0
cat__마명_레전드선,0
cat__마명_레전드와우,0
cat__마명_로드투스타,0
cat__마명_로드투스피어,0
cat__마명_로열베스트,0
cat__마명_로열삭스,0
cat__마명_로열플러스,0
cat__마명_롯폰기드래곤,0
cat__마명_루지,0
cat__마명_리걸하이,0
cat__마명_리멤버어게인,0
cat__마명_리얼딜,0
cat__마명_리플렉트,0
cat__마명_마니노다지,0
cat__마명_마루장군,0
cat__마명_마스터콰이곤,0
cat__마명_마스터플랜,0
cat__마명_마이던,0
cat__마명_마이머닝스,0
cat__마명_마이모어,0
cat__마명_마이엠파이어,0
cat__마명_마이웨이보스,0
cat__마명_마이티네오,0
cat__마명_마이티러브,0
cat__마명_마이티룩,0
cat__마명_마이티비트,0
cat__마명_마이티샤인,0
cat__마명_마이티숀,0
cat__마명_마이티아미,0
cat__마명_마이티에버,0
cat__마명_마이티조이,0
cat__마명_마이티짱,0
cat__마명_마이티캡,0
cat__마명_마이티크리스,0
cat__마명_마이티탭,0
cat__마명_마이티프리,0
cat__마명_마천월드,0
cat__마명_마터호른케이,0
cat__마명_말스고,0
cat__마명_매직스트롱,0
cat__마명_매직포션,0
cat__마명_맥스맨,0
cat__마명_맥스파티,0
cat__마명_머니포시즌,0
cat__마명_머스킷데이,0
cat__마명_머스킷클리버,0
cat__마명_머스탱파워,0
cat__마명_메가드래곤,0
cat__마명_메가스텝,0
cat__마명_메이저크라운,0
cat__마명_명드림,0
cat__마명_명진불패,0
cat__마명_명파워,0
cat__마명_명품족,0
cat__마명_모닝원더,0
cat__마명_모던파티,0
cat__마명_모어댄조크,0
cat__마명_몬탁선샤인,0
cat__마명_몬탁챗,0
cat__마명_무빙볼케이노,0
cat__마명_무적함대,0
cat__마명_무제한급,0
cat__마명_무한아르고,0
