chaksun,diffTot,divide,hrName,hrno,jkName,jkNo,meet,noracefl,prow,prowName,prtr,prtrName,rankKind,rc10dusu,rcAge,rcBudam,rcChul,rcCode,rcDate,rcDiff2,rcDiff3,rcDiff4,rcDiff5,rcDist,rcFrflag,rcGrade,rcHrfor,rcHrnew,rcNo,rcNrace,rcOrd,rcP1Odd,rcP1Sale,rcP2Odd,rcP2Sale,rcP3Odd,rcP3Sale,rcP4Odd,rcP4Sale,rcP5Odd,rcP5Sale,rcP6Odd,rcP6Sale,rcP8Odd,rcP8Sale,rcPlansu,rcRank,rcSex,rcSpcbu,rcTime,rcVtdusu,rundayth,track,weath,wgHr,year
2000000,12.25,0,새내칸,0045818,이혁,080486,서울,정상,117013,문금철,070145,홍대유,0,0,3세,2,1,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,4,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,83.3,12,1,양호,흐림,489,2023
0,15.0,0,한강파워,0045568,유승완,080417,서울,정상,121008,나기두,070098,최영주,0,0,3세,2,2,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,6,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,83.8,12,1,양호,흐림,519,2023
1600000,13.25,0,파이널축제,0045339,함완식,080342,서울,정상,113110,정기환,070170,김동균,0,0,3세,2,3,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,5,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,83.5,12,1,양호,흐림,490,2023
0,21.375,0,런던비상,0045409,박현우,080499,서울,정상,121003,임현성,070108,안해양,0,0,3세,2,4,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,12,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,85.0,12,1,양호,흐림,446,2023
0,17.5,0,나올탱크,0046372,문성혁,080587,서울,정상,121010,이경호a,070199,조현수,0,0,3세,2,5,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,9,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,84.2,12,1,양호,흐림,532,2023
8800000,10.0,0,아르고리치,0045921,문세영,080366,서울,정상,111006,우태율,070146,안병기,0,0,3세,2,6,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,2,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,82.9,12,1,양호,흐림,496,2023
5600000,11.0,0,불의날개,0046091,김철호,080434,서울,정상,121006,황경호,070198,임채덕,0,0,3세,2,7,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,3,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,83.1,12,1,양호,흐림,454,2023
0,15.5,0,할슈타트,0046321,조재로,080550,서울,정상,065122,김정철,070200,최용건,0,0,3세,2,8,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,7,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,83.9,12,1,양호,흐림,464,2023
22000000,0.0,0,업타운위즈,0046529,김용근,080405,서울,정상,113027,김형실,070179,송문길,0,0,3세,2,9,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,1,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,81.2,12,1,양호,흐림,499,2023
0,17.625,0,논스톱선더,0045603,신형철,080122,서울,정상,106255,태립,070053,이희영,0,0,3세,2,10,일반,20230107,10.0,11.0,12.25,13.25,1300,국산,일반,국산마,Rookie2,1,일반,10,3.4,12434200,8.4,34473800,6.9,452435800,12.4,121439300,31.1,67343700,227.5,442404800,819.0,178840500,12,06,오픈,1,84.3,12,1,양호,흐림,464,2023
