birthday,chaksunT,faHrName,faHrNo,hrLastAmt,hrName,hrNo,meet,moHrName,moHrNo,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,owName,owNo,rank,rating,rcCntT,rcCntY,sex,trName,trNo
20230425,0,지몰로지스트,6969075,"25,000천원(개별)",글로벌캐넌,0053919,서울,클레버타이밍,0040236,한국,0,0,0,0,0,0,장재형,010611,국미검,0,0,0,수,휴양마,0AAAAA
20220422,13500000,CLOUD COMPUTING,6126349,"83,176천원(개별)",글로벌컴퓨팅,0056592,서울,HOT DIXIE DAME,6147829,미국,0,0,0,0,1,0,장재형,010611,외4,0,5,3,거,전승규,070182
20230515,24900000,THOUSAND WORDS,6149589,"80,007천원(개별)",글로벌킹덤,0060714,서울,DUNDALK DANCER,6992570,미국,0,0,1,1,1,1,장재형,010611,외4,0,3,3,거,함완식,070248
20220203,101850000,카우보이칼,0038391,"55,000천원(경매)",글로벌타임,0051039,서울,골든로즈Ⅱ,0041967,한국,2,2,3,1,2,1,장재형,010611,국4,0,9,5,수,전승규,070182
20220830,30600000,AMERICAN PHAROAH,6106898,"76,794천원(개별)",글로벌파로아,0055428,서울,HARVEST START,7128692,호주,0,0,0,0,3,3,장재형,010611,외4,0,13,11,거,정호익,070148
20200329,262300000,카우보이칼,0038391,"59,000천원(경매)",글로벌파워,0045635,서울,라이드미투더문,0029416,한국,2,0,9,2,5,2,장재형,010611,국3,0,35,12,수,전승규,070182
20230428,0,오버애널라이즈,0045082,"20,000천원(개별)",글로벌하남,0054232,서울,세이브더모먼트,0021704,한국,0,0,0,0,0,0,송한우,110050,국6,0,1,1,거,홍대유,070145
20220824,0,AMERICAN PHAROAH,6106898,"86,849천원(개별)",글로벌하트,0058005,서울,SPRING CHARM,7169376,호주,0,0,0,0,0,0,장재형,010611,외4,0,3,3,암,휴양마,0AAAAA
20220401,91050000,테스타마타,0034428,"35,000천원(경매)",글로벌함성,0051782,서울,승리의함성,0024553,한국,2,1,2,2,3,1,장재형,010611,국4,0,16,9,거,정호익,070148
20200307,132400000,포리스트캠프,0021999,수증,금빛강호,0046287,서울,금빛물결,0027163,한국,3,1,5,1,1,0,퍼플라인,121053,국3,0,21,5,거,박윤규,070117
